item_id,doctor_id,specialty,rate,label,bucket,neg_score,neg_score_kw,neg_score_rate,neg_hits,pos_score,pos_score_kw,pos_score_rate,pos_hits,has_service_term,has_service_neg_cue,n_words,n_chars,text_label,text_for_tfidf,label_human,label_human_note,rater_id,label_llm,llm_confidence,llm_rationale_short,src_row_id,label_human_int,label_weak,weak_confidence,weak_reason,label_final
sent_000063,337323,جراح و متخصص ارتوپدی,5.0,1,mixed,1.6,1.6,0.0,disappointed_soft,3.4,2.5,0.9,strong_positive,0,0,36,174,عمل تعویض مفصل زانو برای مادرم انجام دادن و بسیار عالی بود ایشون هم از نظر کاری هم شخصیتی بینهایت حرفه ای و بی نظیر هستن و کاش همه ی دکترای ما اینقد دلسوز و متعهد و شریف بودن,عمل تعویض مفصل زانو مادرم انجام ایشون کاری شخصیتی بینهایت حرفه‌ای بی‌نظیر هستن کاش همه‌ی دکترای اینقد دلسوز متعهد شریف,,,,,,,65523,1,0,0.45,default_neu,1.0
sent_005824,123719,جراح و متخصص زنان و زایمان و نازایی,2.5,0,high_neg,4.2,2.6,1.6,not_recommend,0.0,0.0,0.0,,1,1,36,165,در وقت دهی و مشاوره قبل از ویزیت بسیار ضعیف هستن بارها رفتم و پشت در موندم و بعد تماس وقتم رو کنسل کردم به این خاطر دیگه نمیرم باوجودی که از روند بهبود بیماریم راضیم,وقت دهی مشاوره ویزیت ضعیف هستن بارها رفتم موندم تماس وقتم کنسل خاطر دیگه نمیرم باوجودی بهبود بیماریم راضیم,,,,,,,13747,-1,-1,0.9119999999999999,neg_kw,-1.0
sent_003168,219073,فلوشیب زانو و آسیبهای ورزشی شانه و زانو,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,17,92,پارگیه مینیسک زانو دکتر خیلی خوبیه فقط قرار بود واسم وقت جراحی بزارن ولی مسولش کم کاری میکنه,پارگیه مینیسک زانو دکتر خوبیه قرار واسم وقت جراحی بزارن مسولش کم‌کاری میکنه,,,,,,,28664,0,0,0.75,informational,0.0
sent_001458,123948,متخصص مغز و اعصاب و ستون فقرات,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,13,59,تشخیص خوب است اما معطلی تو مطب زیاد و مقداری آشنا بازی هستش,تشخیص معطلی مطب مقداری آشنا بازی هستش,,,,,,,13998,0,-1,0.816,neg_kw,0.0
sent_004977,235783,فلوشیپ جراحی شانه و آرنج,2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,4,20,فعلا یکبار ویزیت شدم,فعلا یکبار ویزیت شدم,,,,,,,35113,0,0,0.45,default_neu,0.0
sent_005792,282680,متخصص پوست و مو و زیبایی و لیزر,5.0,1,topup_pref,0.0,0.0,0.0,,2.7,1.8,0.9,improved,1,0,9,40,شوره سر داشتم و با اولین ویزیت درمان شدم,شوره سر داشتم ویزیت درمان شدم,,,,,,,46894,1,1,0.816,pos_kw,1.0
sent_003644,255309,متخصص گوش و حلق و بینی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,6,32,بیشتر برای زیبایی بینی خوب هستند,زیبایی بینی,,,,,,,41954,0,0,0.45,default_neu,0.0
sent_007525,239856,متخصص جراحی مغز و اعصاب,5.0,1,mixed,1.4,1.4,0.0,money,2.5,1.6,0.9,skilled,0,0,20,99,تعریف یا واژه بهتر ایشان دست شفا از طرف خدا برای بیمارهایش هست من از دیگران متخصص بودنش را شنیده ام,تعریف واژه دست شفا خدا بیمارهایش هست متخصص بودنش شنیده‌ام,,,,,,,37543,1,0,0.55,mixed,1.0
sent_002635,244410,جراح ارتوپد,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,14,55,دو بار ویزیت شدم هر بار بیش از 5 ساعت در مطب منتظر بودم,ویزیت شدم ساعت مطب منتظر بودم,,,,,,,39227,-1,-1,0.816,neg_kw,-1.0
sent_001396,116462,متخصص گوش و حلق و بینی و جراحی زیبایی بینی,5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,5,25,دکتر فوق العاده خوبی هستن,دکتر العاده هستن,,,,,,,10689,1,1,0.8999999999999999,pos_kw,1.0
sent_003687,213757,جراح و فلوشیپ سرطان شناسی کلیه و مجاری ادراری ( اوروانکولژیست),2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,13,مشکل درد کلیه,مشکل درد کلیه,,,,,,,27801,0,0,0.75,informational,0.0
sent_000867,214789,متخصص گوش و حلق و بینی جراحی پلاستیک,2.5,0,high_neg,4.2,2.6,1.6,strong_negative,0.0,0.0,0.0,,0,0,4,13,خیلی بد بود 0,بد,,,,,,,28201,-1,-1,0.9119999999999999,neg_kw,-1.0
sent_000906,340754,متخصص پوست و مو,5.0,1,random,0.0,0.0,0.0,,0.9,0.0,0.9,,0,0,2,9,بین نظیرن,نظیرن,,,,,,,66052,1,0,0.75,informational,1.0
sent_005010,123101,جراح و متخصص زنان ، زایمان و نازایی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,1,41,190,دکتر مهربون و حرفه ای هستن من حدود 3 ماهه برای عفونت تحت درمانم و باید همچنان ادامه بدم تا ببینم به نتیجه میرسه یا نه فقط اینکه زمان معطلی در مطب برای نوبتم همیشه خیلی زیاده و بیش از 1 ساعته,دکتر مهربون حرفه‌ای هستن ماهه عفونت درمانم ادامه بدم ببینم نتیجه میرسه نه زمان معطلی مطب نوبتم زیاده ساعته,,,,,,,13677,1,-1,0.816,neg_kw,1.0
sent_002645,241999,جراح ارتوپد ،فلوشیپ لگن ، ران ، تعویض مفصل,5.0,1,mixed,1.4,1.4,0.0,money,3.4,2.5,0.9,strong_positive,0,0,17,78,دکتر بسیار بسیار عالی است اگر تو عمل هاش توان دیگران را در نظر بگیرد عالی میشه,دکتر عمل هاش توان بگیرد میشه,,,,,,,38715,1,0,0.45,default_neu,1.0
sent_004364,234392,متخصص پوست و مو ، زیبایی و لیزر,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,8,37,در جلسه اول دکتر خوبی به نظر می رسیدن,جلسه دکتر می‌رسیدن,,,,,,,34500,0,0,0.45,default_neu,0.0
sent_003752,100332,متخصص ارتوپدی - تعویض مفصل,2.5,0,high_neg,3.2,1.6,1.6,disappointed_soft,0.0,0.0,0.0,,0,0,6,30,راضی نبودم خیلی دکتر عجولی هست,راضی نبودم دکتر عجولی هست,,,,,,,267,-1,-1,0.792,neg_kw,-1.0
sent_002713,238666,متخصص پوست و مو و زیبایی و لیزر,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,6,تلت 33,تلت 33,,,,,,,36831,0,0,0.75,informational,0.0
sent_006569,277985,متخصص مغز و اعصاب (نورولوژی)، عضو انجمن صرع ایران,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,14,سلام خوب بودند,سلام,,,,,,,45782,0,0,0.75,informational,0.0
sent_002714,197479,متخصص مغز و اعصاب ( نورولوژی ),5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,21,106,بسیار دکتر خوب وتشخیص عالی برای بیماری فشار مغز داشتند وبا دارو خیلی بهتر هستم وچند ماه تحت نظر ایشان هستم,دکتر وتشخیص بیماری فشار مغز وبا دارو هستم وچند ماه هستم,,,,,,,23402,1,1,0.8999999999999999,pos_kw,1.0
